regular,midgrade,premium,diesel,last_update,reg_price_age,mid_price_age,pre_price_age,des_price_age,location_id
2.21,0.0,2.49,0.0,2016-09-26 20:09:39.000000,0.0,0.0,0.0,0.0,1198
2.35,2.49,2.59,0.0,2016-09-26 20:09:12.000000,1.0,1.0,1.0,0.0,1129
2.39,2.49,2.79,0.0,2016-09-26 19:09:56.000000,2.0,2.0,2.0,0.0,1101
2.38,2.53,2.73,0.0,2016-09-26 08:09:31.000000,3.0,3.0,3.0,0.0,1228
2.33,2.51,2.63,2.93,2016-09-26 20:09:47.000000,0.0,0.0,24.0,1.0,1128
2.49,0.0,0.0,2.59,2016-09-26 20:09:07.000000,2.0,0.0,0.0,2.0,1184
2.33,2.45,2.57,2.81,2016-09-26 08:09:03.000000,3.0,3.0,3.0,3.0,1225
2.41,2.58,2.71,2.89,2016-09-26 08:09:24.000000,3.0,3.0,3.0,3.0,1227
2.48,2.65,0.0,2.49,2016-09-26 08:09:40.000000,3.0,3.0,0.0,3.0,1229
2.21,0.0,2.49,0.0,2016-09-23 20:09:37.000000,144.0,0.0,120.0,0.0,1174
2.21,0.0,2.49,0.0,2016-09-23 20:09:15.000000,0.0,0.0,216.0,0.0,1198
2.29,2.41,2.53,0.0,2016-09-23 20:09:17.000000,3.0,3.0,3.0,0.0,1151
2.39,2.49,2.79,0.0,2016-09-23 19:09:01.000000,3.0,6.0,6.0,0.0,1101
2.35,2.49,2.59,0.0,2016-09-23 20:09:39.000000,6.0,6.0,6.0,0.0,1129
2.38,2.53,2.73,0.0,2016-09-23 08:09:03.000000,7.0,8.0,8.0,0.0,1228
2.33,2.51,2.63,2.93,2016-09-23 20:09:29.000000,1.0,3.0,3.0,3.0,1128
2.33,2.45,2.57,2.81,2016-09-23 08:09:18.000000,6.0,6.0,6.0,6.0,1225
2.48,2.65,0.0,2.49,2016-09-23 08:09:16.000000,7.0,7.0,0.0,7.0,1229
2.38,2.55,2.65,2.89,2016-09-23 08:09:41.000000,6.0,8.0,8.0,8.0,1227
2.49,2.62,2.72,2.59,2016-09-23 20:09:55.000000,3.0,6.0,24.0,24.0,1184
2.48,2.65,0.0,2.49,2016-09-24 08:09:14.000000,0.0,0.0,0.0,0.0,1229
2.33,2.49,2.57,0.0,2016-09-24 20:09:59.000000,2.0,2.0,2.0,0.0,1151
2.21,0.0,2.49,0.0,2016-09-24 20:09:47.000000,2.0,0.0,2.0,0.0,1174
2.39,2.49,2.79,0.0,2016-09-24 19:09:57.000000,8.0,8.0,8.0,0.0,1101
2.38,2.53,2.73,0.0,2016-09-24 08:09:05.000000,8.0,9.0,9.0,0.0,1228
2.35,2.49,2.59,0.0,2016-09-24 20:09:26.000000,0.0,0.0,168.0,0.0,1129
2.21,0.0,2.49,0.0,2016-09-24 20:09:20.000000,0.0,0.0,216.0,0.0,1198
2.33,2.51,2.63,2.93,2016-09-24 20:09:19.000000,1.0,1.0,1.0,1.0,1128
2.49,2.62,2.72,2.59,2016-09-24 20:09:47.000000,2.0,24.0,5.0,2.0,1184
2.33,2.45,2.57,2.81,2016-09-24 08:09:11.000000,0.0,0.0,120.0,5.0,1225
2.41,2.58,2.68,2.89,2016-09-24 08:09:47.000000,6.0,6.0,6.0,6.0,1227
2.23,0.0,2.52,0.0,2016-09-13 20:09:31.000000,0.0,0.0,0.0,0.0,1174
2.39,0.0,0.0,0.0,2016-09-13 08:09:00.000000,9.0,0.0,0.0,0.0,1228
0.0,0.0,0.0,0.0,2016-09-13 08:09:09.000000,0.0,0.0,0.0,0.0,1229
2.39,2.49,2.73,0.0,2016-09-13 19:09:22.000000,2.0,2.0,2.0,0.0,1101
2.27,0.0,2.49,0.0,2016-09-13 20:09:20.000000,2.0,0.0,2.0,0.0,1198
2.29,2.41,2.53,0.0,2016-09-13 19:09:57.000000,8.0,8.0,8.0,0.0,1151
2.33,2.47,2.57,0.0,2016-09-13 19:09:47.000000,0.0,0.0,168.0,0.0,1129
2.33,2.45,2.53,2.93,2016-09-13 19:09:39.000000,1.0,1.0,1.0,1.0,1128
2.33,2.45,2.57,2.81,2016-09-13 08:09:12.000000,1.0,1.0,1.0,1.0,1225
2.49,0.0,2.72,2.59,2016-09-13 20:09:12.000000,1.0,0.0,24.0,1.0,1184
2.34,2.51,2.64,2.89,2016-09-13 08:09:51.000000,7.0,7.0,7.0,7.0,1227
2.39,2.49,2.79,0.0,2016-09-29 19:09:27.000000,0.0,0.0,48.0,0.0,1101
2.21,0.0,2.49,0.0,2016-09-29 21:09:39.000000,0.0,0.0,0.0,0.0,1174
2.21,0.0,2.49,0.0,2016-09-29 21:09:00.000000,0.0,0.0,24.0,0.0,1198
2.33,2.45,2.57,0.0,2016-09-29 20:09:23.000000,1.0,1.0,1.0,0.0,1151
2.39,2.53,2.73,0.0,2016-09-29 08:09:14.000000,3.0,3.0,3.0,0.0,1228
2.33,2.47,2.57,0.0,2016-09-29 20:09:39.000000,2.0,7.0,7.0,0.0,1129
2.33,2.51,2.63,2.93,2016-09-29 20:09:30.000000,0.0,0.0,48.0,2.0,1128
2.49,2.62,2.72,2.59,2016-09-29 21:09:44.000000,4.0,24.0,72.0,4.0,1184
2.33,2.45,2.57,2.81,2016-09-29 08:09:32.000000,1.0,5.0,5.0,5.0,1225
2.46,2.63,0.0,2.49,2016-09-29 08:09:36.000000,5.0,5.0,0.0,5.0,1229
2.39,2.56,2.66,2.89,2016-09-29 08:09:02.000000,7.0,8.0,8.0,8.0,1227
2.47,0.0,0.0,0.0,2016-09-09 19:09:28.000000,4.0,0.0,0.0,0.0,1184
2.23,0.0,2.45,0.0,2016-09-09 19:09:40.000000,0.0,0.0,0.0,0.0,1198
2.27,2.39,2.51,0.0,2016-09-09 19:09:11.000000,1.0,1.0,1.0,0.0,1151
2.19,0.0,2.45,0.0,2016-09-09 19:09:01.000000,3.0,0.0,3.0,0.0,1174
2.33,2.49,2.73,0.0,2016-09-09 19:09:49.000000,4.0,6.0,6.0,0.0,1101
2.29,2.43,2.53,0.0,2016-09-09 19:09:27.000000,6.0,6.0,6.0,0.0,1129
2.37,2.47,2.67,0.0,2016-09-09 08:09:47.000000,24.0,24.0,24.0,0.0,1228
2.33,2.45,2.53,2.93,2016-09-09 19:09:20.000000,0.0,0.0,96.0,4.0,1128
2.45,2.61,0.0,2.49,2016-09-09 08:09:55.000000,8.0,8.0,0.0,8.0,1229
2.34,2.51,2.64,2.89,2016-09-09 08:09:39.000000,8.0,8.0,8.0,8.0,1227
2.33,2.45,2.57,2.81,2016-09-09 08:09:09.000000,9.0,9.0,9.0,9.0,1225
2.33,2.49,2.73,0.0,2016-09-10 19:09:58.000000,0.0,0.0,72.0,0.0,1101
2.21,0.0,2.49,0.0,2016-09-10 20:09:28.000000,120.0,0.0,120.0,0.0,1174
2.21,0.0,2.49,0.0,2016-09-10 20:09:54.000000,168.0,0.0,168.0,0.0,1198
2.33,2.47,2.57,0.0,2016-09-10 19:09:20.000000,1.0,1.0,1.0,0.0,1129
2.39,2.47,2.67,0.0,2016-09-10 08:09:44.000000,3.0,1.0,1.0,0.0,1228
2.29,2.41,2.53,0.0,2016-09-10 19:09:55.000000,4.0,4.0,4.0,0.0,1151
2.33,2.45,2.53,2.93,2016-09-10 19:09:10.000000,1.0,1.0,1.0,1.0,1128
2.49,2.62,2.7,2.59,2016-09-10 20:09:12.000000,1.0,3.0,1.0,1.0,1184
2.34,2.51,2.64,2.89,2016-09-10 08:09:39.000000,3.0,3.0,1.0,3.0,1227
2.33,2.45,2.57,2.81,2016-09-10 08:09:26.000000,0.0,0.0,168.0,7.0,1225
2.45,2.62,0.0,2.49,2016-09-10 08:09:03.000000,4.0,9.0,0.0,9.0,1229
2.39,0.0,0.0,0.0,2016-09-14 08:09:13.000000,5.0,0.0,0.0,0.0,1228
2.23,0.0,2.49,0.0,2016-09-14 20:09:07.000000,1.0,0.0,1.0,0.0,1174
2.33,2.47,2.57,0.0,2016-09-14 20:09:57.000000,3.0,3.0,3.0,0.0,1129
2.29,2.41,2.53,0.0,2016-09-14 20:09:04.000000,4.0,4.0,4.0,0.0,1151
2.39,2.49,2.73,0.0,2016-09-14 19:09:44.000000,5.0,6.0,6.0,0.0,1101
2.23,0.0,2.49,0.0,2016-09-14 20:09:47.000000,0.0,0.0,48.0,0.0,1198
2.33,2.45,2.57,2.81,2016-09-14 08:09:05.000000,5.0,5.0,2.0,2.0,1225
2.49,0.0,2.72,2.59,2016-09-14 20:09:37.000000,2.0,0.0,5.0,2.0,1184
2.48,2.65,0.0,2.49,2016-09-14 08:09:26.000000,1.0,3.0,0.0,3.0,1229
2.34,2.51,2.64,2.89,2016-09-14 08:09:37.000000,4.0,4.0,4.0,4.0,1227
2.33,2.45,2.57,2.93,2016-09-14 20:09:49.000000,7.0,7.0,7.0,7.0,1128
2.38,2.53,2.73,0.0,2016-09-25 08:09:17.000000,3.0,3.0,3.0,0.0,1228
2.49,0.0,2.72,2.59,2016-09-25 20:09:21.000000,7.0,0.0,24.0,24.0,1184
2.39,2.49,2.79,0.0,2016-09-25 19:09:44.000000,0.0,0.0,0.0,0.0,1101
2.48,2.65,0.0,2.49,2016-09-25 08:09:25.000000,3.0,3.0,0.0,3.0,1229
2.21,0.0,2.49,0.0,2016-09-25 20:09:51.000000,3.0,0.0,3.0,0.0,1174
2.33,2.45,2.57,2.81,2016-09-25 08:09:51.000000,3.0,3.0,3.0,3.0,1225
2.41,2.58,2.71,2.89,2016-09-25 08:09:07.000000,3.0,3.0,3.0,3.0,1227
2.33,2.51,2.63,2.93,2016-09-25 20:09:15.000000,4.0,4.0,4.0,4.0,1128
2.21,0.0,2.49,0.0,2016-09-25 20:09:23.000000,4.0,0.0,4.0,0.0,1198
2.35,2.49,2.59,0.0,2016-09-25 20:09:25.000000,5.0,5.0,5.0,0.0,1129
2.33,2.49,2.57,0.0,2016-09-25 20:09:54.000000,5.0,5.0,5.0,0.0,1151
2.29,2.41,2.53,0.0,2016-09-20 20:09:49.000000,0.0,0.0,216.0,0.0,1151
2.21,0.0,2.49,0.0,2016-09-20 20:09:56.000000,1.0,0.0,1.0,0.0,1174
2.21,0.0,2.49,0.0,2016-09-20 20:09:01.000000,3.0,0.0,3.0,0.0,1198
2.39,2.53,2.73,0.0,2016-09-20 08:09:54.000000,5.0,5.0,5.0,0.0,1228
2.39,2.49,2.79,0.0,2016-09-20 19:09:00.000000,0.0,0.0,192.0,0.0,1101
2.35,2.49,2.59,0.0,2016-09-20 20:09:01.000000,192.0,192.0,192.0,0.0,1129
2.33,2.45,2.57,2.81,2016-09-20 08:09:24.000000,1.0,1.0,1.0,1.0,1225
2.35,0.0,0.0,2.89,2016-09-20 08:09:43.000000,0.0,0.0,0.0,5.0,1227
2.48,2.65,2.75,2.49,2016-09-20 08:09:01.000000,5.0,5.0,5.0,5.0,1229
2.49,2.62,2.72,2.59,2016-09-20 20:09:35.000000,3.0,2.0,24.0,24.0,1184
2.33,2.45,2.57,2.93,2016-09-20 20:09:54.000000,48.0,48.0,48.0,48.0,1128
2.49,0.0,2.72,2.59,2016-09-22 20:09:41.000000,1.0,0.0,3.0,1.0,1184
2.39,2.53,2.73,0.0,2016-09-22 08:09:08.000000,8.0,8.0,8.0,0.0,1228
2.21,0.0,2.49,0.0,2016-09-22 20:09:45.000000,7.0,0.0,48.0,0.0,1174
2.21,0.0,2.49,0.0,2016-09-22 20:09:43.000000,0.0,0.0,0.0,0.0,1198
2.29,2.41,2.53,0.0,2016-09-22 20:09:38.000000,3.0,2.0,2.0,0.0,1151
2.33,2.45,2.57,2.93,2016-09-22 20:09:03.000000,3.0,3.0,3.0,3.0,1128
2.39,2.49,2.79,0.0,2016-09-22 19:09:06.000000,5.0,5.0,5.0,0.0,1101
2.33,2.45,2.57,2.81,2016-09-22 08:09:39.000000,6.0,6.0,6.0,6.0,1225
2.38,2.55,2.65,2.89,2016-09-22 08:09:56.000000,6.0,6.0,6.0,6.0,1227
2.35,2.49,2.59,0.0,2016-09-22 20:09:12.000000,7.0,7.0,7.0,0.0,1129
2.48,2.65,0.0,2.49,2016-09-22 08:09:28.000000,1.0,8.0,0.0,8.0,1229
2.49,0.0,2.72,2.59,2016-09-15 20:09:53.000000,3.0,0.0,9.0,3.0,1184
2.39,0.0,0.0,0.0,2016-09-15 08:09:56.000000,7.0,0.0,0.0,0.0,1228
2.47,0.0,0.0,0.0,2016-09-09 19:09:28.000000,4.0,0.0,0.0,0.0,1184
2.23,0.0,2.45,0.0,2016-09-09 19:09:40.000000,0.0,0.0,0.0,0.0,1198
2.27,2.39,2.51,0.0,2016-09-09 19:09:11.000000,1.0,1.0,1.0,0.0,1151
2.19,0.0,2.45,0.0,2016-09-09 19:09:01.000000,3.0,0.0,3.0,0.0,1174
2.33,2.49,2.73,0.0,2016-09-09 19:09:49.000000,4.0,6.0,6.0,0.0,1101
2.29,2.43,2.53,0.0,2016-09-09 19:09:27.000000,6.0,6.0,6.0,0.0,1129
2.37,2.47,2.67,0.0,2016-09-09 08:09:47.000000,24.0,24.0,24.0,0.0,1228
2.33,2.45,2.53,2.93,2016-09-09 19:09:20.000000,0.0,0.0,96.0,4.0,1128
2.45,2.61,0.0,2.49,2016-09-09 08:09:55.000000,8.0,8.0,0.0,8.0,1229
2.34,2.51,2.64,2.89,2016-09-09 08:09:39.000000,8.0,8.0,8.0,8.0,1227
2.33,2.45,2.57,2.81,2016-09-09 08:09:09.000000,9.0,9.0,9.0,9.0,1225
2.33,2.45,2.57,0.0,2016-09-27 20:09:52.000000,8.0,0.0,48.0,0.0,1151
2.21,0.0,2.49,0.0,2016-09-27 20:09:16.000000,168.0,0.0,3.0,0.0,1174
2.21,0.0,2.49,0.0,2016-09-27 20:09:28.000000,1.0,0.0,0.0,0.0,1198
2.33,2.47,2.57,0.0,2016-09-27 20:09:19.000000,2.0,2.0,2.0,0.0,1129
2.39,2.49,2.79,0.0,2016-09-27 19:09:20.000000,3.0,4.0,4.0,0.0,1101
2.39,2.53,2.73,0.0,2016-09-27 08:09:13.000000,4.0,4.0,4.0,0.0,1228
2.48,2.65,2.78,2.49,2016-09-27 08:09:22.000000,2.0,2.0,2.0,2.0,1229
2.49,0.0,0.0,2.59,2016-09-27 20:09:03.000000,3.0,0.0,0.0,3.0,1184
2.33,2.51,2.63,2.93,2016-09-27 20:09:57.000000,0.0,0.0,144.0,6.0,1128
2.41,0.0,0.0,2.89,2016-09-27 08:09:05.000000,7.0,0.0,0.0,8.0,1227
2.33,2.45,2.57,2.81,2016-09-27 08:09:42.000000,8.0,8.0,8.0,8.0,1225
2.21,0.0,2.49,0.0,2016-09-12 20:09:22.000000,3.0,0.0,4.0,0.0,1174
2.21,0.0,2.49,0.0,2016-09-12 20:09:17.000000,216.0,0.0,216.0,0.0,1198
2.39,0.0,0.0,0.0,2016-09-12 08:09:36.000000,5.0,0.0,0.0,0.0,1228
2.29,2.41,2.53,0.0,2016-09-12 19:09:57.000000,1.0,1.0,1.0,0.0,1151
2.33,2.49,2.73,0.0,2016-09-12 19:09:41.000000,4.0,5.0,5.0,0.0,1101
2.33,2.47,2.57,0.0,2016-09-12 19:09:30.000000,72.0,72.0,72.0,0.0,1129
2.49,0.0,2.72,2.59,2016-09-12 20:09:23.000000,3.0,0.0,7.0,3.0,1184
2.33,2.45,2.53,2.93,2016-09-12 19:09:21.000000,2.0,3.0,4.0,3.0,1128
2.34,2.51,2.64,2.89,2016-09-12 08:09:26.000000,3.0,3.0,3.0,3.0,1227
2.33,2.45,2.57,2.81,2016-09-12 08:09:08.000000,5.0,5.0,5.0,5.0,1225
2.48,2.65,0.0,2.49,2016-09-12 08:09:47.000000,24.0,24.0,0.0,24.0,1229
2.39,2.49,2.79,0.0,2016-09-19 19:09:27.000000,0.0,0.0,0.0,0.0,1101
2.21,0.0,2.49,0.0,2016-09-19 20:09:22.000000,3.0,0.0,3.0,0.0,1174
2.21,0.0,2.49,0.0,2016-09-19 20:09:55.000000,24.0,0.0,24.0,0.0,1198
2.39,0.0,0.0,0.0,2016-09-19 08:09:35.000000,0.0,0.0,0.0,0.0,1228
2.35,2.49,2.59,0.0,2016-09-19 20:09:20.000000,1.0,3.0,3.0,0.0,1129
2.29,2.41,2.53,0.0,2016-09-19 20:09:32.000000,3.0,3.0,3.0,0.0,1151
2.33,2.45,2.57,2.93,2016-09-19 20:09:59.000000,2.0,2.0,2.0,2.0,1128
2.49,0.0,2.72,2.59,2016-09-19 20:09:32.000000,3.0,0.0,144.0,3.0,1184
2.38,2.55,2.89,2.89,2016-09-19 08:09:28.000000,0.0,0.0,144.0,6.0,1227
2.48,2.65,2.75,2.49,2016-09-19 08:09:46.000000,6.0,6.0,6.0,6.0,1229
2.33,2.45,2.57,2.81,2016-09-19 08:09:11.000000,0.0,0.0,192.0,8.0,1225
2.23,0.0,2.49,0.0,2016-09-16 20:09:52.000000,3.0,0.0,3.0,0.0,1174
2.23,0.0,2.49,0.0,2016-09-16 20:09:44.000000,168.0,0.0,168.0,0.0,1198
2.39,0.0,0.0,0.0,2016-09-16 08:09:26.000000,9.0,0.0,0.0,0.0,1228
2.39,2.49,2.79,0.0,2016-09-16 19:09:24.000000,192.0,1.0,192.0,0.0,1101
2.29,2.41,2.53,0.0,2016-09-16 20:09:18.000000,3.0,3.0,3.0,0.0,1151
2.33,2.47,2.57,0.0,2016-09-16 20:09:12.000000,4.0,4.0,4.0,0.0,1129
2.38,2.55,2.65,2.89,2016-09-16 08:09:17.000000,1.0,1.0,1.0,1.0,1227
2.33,2.45,2.57,2.93,2016-09-16 20:09:50.000000,3.0,5.0,3.0,3.0,1128
2.33,2.45,2.57,2.81,2016-09-16 08:09:57.000000,0.0,0.0,168.0,7.0,1225
2.48,2.65,0.0,2.49,2016-09-16 08:09:33.000000,8.0,8.0,0.0,8.0,1229
2.49,0.0,2.72,2.59,2016-09-16 20:09:57.000000,2.0,0.0,24.0,24.0,1184
2.39,0.0,0.0,0.0,2016-09-11 08:09:58.000000,8.0,0.0,0.0,0.0,1228
2.49,2.62,2.7,2.59,2016-09-11 20:09:44.000000,6.0,24.0,24.0,24.0,1184
2.33,0.0,0.0,0.0,2016-09-11 19:09:12.000000,0.0,0.0,0.0,0.0,1129
2.21,0.0,2.49,0.0,2016-09-11 20:09:51.000000,0.0,0.0,72.0,0.0,1174
2.21,0.0,2.49,0.0,2016-09-11 20:09:46.000000,0.0,0.0,48.0,0.0,1198
2.34,2.51,2.64,2.89,2016-09-11 08:09:44.000000,0.0,0.0,0.0,0.0,1227
2.33,2.49,2.73,0.0,2016-09-11 19:09:49.000000,1.0,1.0,1.0,0.0,1101
2.33,2.45,2.53,2.93,2016-09-11 19:09:02.000000,5.0,5.0,5.0,5.0,1128
2.29,2.41,2.53,0.0,2016-09-11 19:09:17.000000,5.0,5.0,5.0,0.0,1151
2.33,2.45,2.57,2.81,2016-09-11 08:09:15.000000,8.0,8.0,8.0,8.0,1225
2.48,2.65,0.0,2.49,2016-09-11 08:09:06.000000,8.0,8.0,0.0,8.0,1229
2.39,2.53,2.73,0.0,2016-09-28 08:09:57.000000,0.0,0.0,0.0,0.0,1228
2.21,0.0,2.49,0.0,2016-09-28 20:09:02.000000,3.0,0.0,1.0,0.0,1174
2.39,2.49,2.79,0.0,2016-09-28 19:09:43.000000,3.0,3.0,3.0,0.0,1101
2.33,2.45,2.57,0.0,2016-09-28 20:09:46.000000,3.0,3.0,3.0,0.0,1151
2.33,2.47,2.57,0.0,2016-09-28 20:09:33.000000,4.0,4.0,4.0,0.0,1129
2.21,0.0,2.49,0.0,2016-09-28 20:09:27.000000,192.0,0.0,192.0,0.0,1198
2.33,2.45,2.57,2.81,2016-09-28 08:09:00.000000,1.0,1.0,1.0,1.0,1225
2.49,2.62,2.72,2.59,2016-09-28 20:09:07.000000,4.0,3.0,9.0,4.0,1184
2.33,2.51,2.63,2.93,2016-09-28 20:09:23.000000,3.0,5.0,5.0,5.0,1128
2.48,2.65,2.78,2.49,2016-09-28 08:09:16.000000,3.0,4.0,4.0,8.0,1229
2.39,2.56,2.66,2.89,2016-09-28 08:09:36.000000,9.0,9.0,9.0,9.0,1227
2.33,2.45,2.57,0.0,2016-09-30 20:09:04.000000,0.0,0.0,0.0,0.0,1151
2.21,0.0,2.54,0.0,2016-09-30 21:09:07.000000,1.0,0.0,0.0,0.0,1174
2.21,0.0,2.54,0.0,2016-09-30 21:09:25.000000,0.0,0.0,216.0,0.0,1198
2.39,2.56,2.66,2.89,2016-09-30 08:09:49.000000,0.0,0.0,0.0,0.0,1227
2.39,2.53,2.73,0.0,2016-09-30 08:09:17.000000,0.0,0.0,0.0,0.0,1228
2.33,2.47,2.57,0.0,2016-09-30 20:09:33.000000,1.0,1.0,1.0,0.0,1129
2.39,2.49,2.79,0.0,2016-09-30 19:09:26.000000,3.0,3.0,3.0,0.0,1101
2.33,2.45,2.57,2.43,2016-09-30 08:09:29.000000,8.0,1.0,1.0,1.0,1225
2.46,2.63,0.0,2.49,2016-09-30 08:09:24.000000,5.0,5.0,0.0,5.0,1229
2.49,2.62,2.72,2.59,2016-09-30 21:09:34.000000,0.0,0.0,192.0,8.0,1184
2.33,2.51,2.63,2.93,2016-09-30 20:09:24.000000,0.0,0.0,216.0,9.0,1128
2.35,2.49,2.59,0.0,2016-09-21 20:09:18.000000,0.0,0.0,120.0,0.0,1129
2.29,0.0,0.0,0.0,2016-09-21 20:09:48.000000,0.0,0.0,0.0,0.0,1151
2.21,0.0,2.49,0.0,2016-09-21 20:09:19.000000,2.0,0.0,3.0,0.0,1174
2.21,0.0,2.49,0.0,2016-09-21 20:09:17.000000,216.0,0.0,216.0,0.0,1198
2.39,2.49,2.79,0.0,2016-09-21 19:09:13.000000,6.0,6.0,6.0,0.0,1101
2.39,2.53,2.73,0.0,2016-09-21 08:09:15.000000,8.0,9.0,9.0,0.0,1228
2.49,2.62,0.0,2.59,2016-09-21 20:09:54.000000,3.0,24.0,0.0,3.0,1184
2.49,2.66,2.79,2.49,2016-09-21 08:09:27.000000,4.0,4.0,4.0,4.0,1229
2.33,2.45,2.57,2.81,2016-09-21 08:09:36.000000,8.0,8.0,8.0,8.0,1225
2.38,2.55,2.65,2.89,2016-09-21 08:09:07.000000,8.0,8.0,8.0,8.0,1227
2.33,2.45,2.57,2.93,2016-09-21 20:09:57.000000,0.0,0.0,216.0,9.0,1128
2.39,2.49,2.79,0.0,2016-09-17 19:09:04.000000,0.0,0.0,0.0,0.0,1101
2.23,0.0,2.49,0.0,2016-09-17 20:09:33.000000,0.0,0.0,0.0,0.0,1198
2.39,0.0,0.0,0.0,2016-09-17 08:09:42.000000,9.0,0.0,0.0,0.0,1228
2.35,2.49,2.59,0.0,2016-09-17 20:09:13.000000,1.0,1.0,1.0,0.0,1129
2.21,0.0,2.49,0.0,2016-09-17 20:09:34.000000,2.0,0.0,2.0,0.0,1174
2.29,2.41,2.53,0.0,2016-09-17 20:09:42.000000,2.0,3.0,3.0,0.0,1151
2.49,0.0,0.0,2.59,2016-09-17 20:09:32.000000,1.0,0.0,0.0,1.0,1184
2.33,2.45,2.57,2.93,2016-09-17 20:09:48.000000,1.0,1.0,1.0,1.0,1128
2.48,2.65,2.75,2.49,2016-09-17 08:09:52.000000,1.0,0.0,9.0,9.0,1229
2.38,2.55,2.89,2.89,2016-09-17 08:09:35.000000,0.0,0.0,144.0,9.0,1227
2.33,0.0,0.0,2.81,2016-09-17 08:09:14.000000,1.0,0.0,0.0,72.0,1225
2.23,2.55,2.75,0.0,2016-12-20 07:51:07.718233,0.0,0.0,0.0,0.0,1101
2.23,2.41,2.63,2.55,2016-12-20 07:55:38.639550,0.0,0.0,0.0,0.0,1128
2.23,2.37,2.47,0.0,2016-12-20 07:55:48.145230,1.0,1.0,1.0,0.0,1129
2.19,2.41,2.51,0.0,2016-12-20 07:59:09.869516,17.0,17.0,17.0,0.0,1151
2.05,0.0,2.36,0.0,2016-12-20 08:03:04.324441,1.0,0.0,1.0,0.0,1174
2.39,0.0,0.0,0.0,2016-12-20 08:04:24.109285,1.0,0.0,0.0,0.0,1184
2.13,0.0,2.36,0.0,2016-12-20 08:05:56.441163,1.0,0.0,1.0,0.0,1198
2.23,2.55,2.67,2.55,2016-12-20 08:09:59.283994,0.0,0.0,0.0,0.0,1225
